Code,Food name,Edible conversion factor,Energy (kj),Water (g),Ash (g),Protein (g),Fat (g),Fibre (g),Carbohydrate available (g),Energy (kcal),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (mcg),Vit A-RAE (mcg),Vit A-RE (mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Dietary Folate Eq. (mcg),Food folate (mcg),Vit B12 (mcg),Vit C (mg)
7010,"Egg, chicken, white (albumen), raw     ",0.56,206,87.2,0.7,11.2,0,0,0.9,48,5,0.1,11,10,119,143,0,11,0,0,0,[0],0,0.41,0,7,7,0,0
 SD or min-max,,,,,,,,,,,,0-0.2,,,,110-175,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,2,1,1,1,2,1,1,,,1,,1,1,1,,1,1,1
7030,"Egg, chicken, white (albumin), boiled (without salt)",0.56,206,87.2,0.7,11.2,0,0,1,48,5,0.1,10,10,113,135,0,10,0,0,0,0,0,0.33,0,6,6,0,0
7011,"Egg, chicken, whole, raw   ",0.87,558,75.9,0.9,12.7,[8.1],0,2.4,134,54,1.7,14,180,126,155,1.13,23,186,186,186,0,0.12,0.51,0,83,83,1.7,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,,,1,1,
7027,"Egg, chicken, whole, boiled (without salt)",0.87,558,75.9,0.9,12.7,8.1,0,2,134,51,1.6,13,171,120,147,1.07,21,177,177,177,0,0.09,0.41,0,66,66,1,0
7028,"Egg, chicken, whole, poached (without salt)",1,634,72.6,1,14.4,9.2,0,3,152,58,1.9,15,194,136,167,1.21,24,201,201,201,0,0.1,0.46,0,75,75,2,0
7012,"Egg, chicken, yolk, raw   ",0.31,1370,51,1.5,16.1,28.2,0,3.2,331,130,6,8,398,104,50,2.5,56,449,449,449,[0],0.19,0.4,0,120,120,4,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
7029,"Egg, chicken, yolk, boiled (without salt)",0.31,1370,51,1.5,16.1,28.2,0,3,331,124,5.7,8,378,99,48,2.38,53,427,427,427,0,0.15,0.32,0,96,96,3,0
7013,"Goat blood, raw",1,290,86.4,1.1,3.8,[3.9],0,4.9,69,[8],27.2,[6],23,169,[216],[0.65],[12],-,-,-,-,-,-,-,-,-,-,-
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,
7014,"Goat, lean, raw",0.71,500,74.6,1,19.5,4.3,0,0.6,119,10,7.2,29,276,243,156,3.66,22,7,7,7,0,0.17,0.23,4.4,2,2,3.09,0.4
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
7043,"Goat, lean, boiled (without salt)",0.62,731,62,1.6,29.1,6.4,0,0,174,12,9.9,34,317,217,137,5.46,33,8,8,8,0,tr,0.28,3.8,2,2,3,0
7044,"Goat, lean, grilled (without salt and fat)",0.63,710,63.1,1.5,28.3,6.2,0,0,169,14,9.6,35,332,281,189,5.03,32,9,9,9,0,0.17,0.3,5.2,2,2,3,1
7015,"Goat liver, raw",0.99,485,74.8,1.3,20.2,[3.9],0,0,115,12,6.6,18,308,225,64,3.48,48,15700,15700,15700,0,0.2,0.37,12.9,[178],[178],64,14
 SD or min-max,,,,73.4-76.3,,20-20.3,3-4.9,,,,6-17,,,279-336,166-284,55-73,,,,,,,,,,,,,
 n,,,,2,1,2,2,,,,2,1,1,2,2,2,1,1,,,1,,1,1,1,,1,1,1
7045,"Goat, liver, boiled (without salt)",0.99,740,61.9,2,30.5,6,0,0,176,14,9.4,22,326,205,58,5.27,73,19000,19000,19000,0,0.21,0.49,9.8,175,175,0,0
7016,"Goat, medium fat, raw",0.74,695,68.2,1,18.6,8.6,0,3.5,166,10,1.9,22,237,198,121,3.26,26,18,18,18,0,0.16,0.18,3.7,1,1,2.34,0.8
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
7046,"Goat, medium fat, boiled (without salt)",0.66,820,56,1.5,27.8,9.4,0,0,196,12,2.7,25,273,177,106,4.86,38,20,20,20,0,0.13,0.22,3.3,1,1,2,1
7047,"Goat, medium fat, grilled (without salt and fat)",0.66,804,57.1,1.5,26.9,9.3,0,0,192,14,2.6,26,286,229,147,4.48,37,21,21,21,0,0.16,0.23,4.4,1,1,3,1
7017,"Guinea fowl, meat, with skin",1,471,75.2,0.9,20.5,[3.2],0,0.1,112,31,2.2,21,187,240,58,1.48,24,2,2,2,0,0.02,0.18,3.6,4,4,0.27,1
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
7018,"Lamb liver, raw",1,675,67.6,1.5,20.4,7.5,0,3.1,161,10,8.3,18,413,326,67,4.22,57,31400,31400,31400,46,0.3,2.25,10.9,759,759,90,20
 SD or min-max,,,,64.8-70.4,1.5-1.5,19.3-21.4,,,,,10-10,6.3-10.3,,380-446,,,,,,,,,,,,,,,
 n,,,,2,2,2,1,,,,2,2,1,2,1,1,1,1,,,1,,2,2,1,,1,1,2
7048,"Lamb, liver, boiled (without salt)",1,811,54.5,2.3,30.8,7.8,0,0,193,12,12,22,438,296,61,6.39,86,38100,38100,38100,56,0.32,3,8.3,748,748,89,21
7019,"Lamb, raw (unspecified part)",1,1120,60,1,17,[22.7],0,0,269,12,1.7,22,150,230,60,3.33,20,0,0,0,0,0.12,0.23,6.1,18,18,2.39,[0]
 SD or min-max,,,,3.6,,1,4.7,,,,,0.5,,,,50-70,,,,,,,,,,,,,
 n,,,,3,1,3,3,,,,1,3,1,1,1,2,1,1,,,1,,2,2,1,,1,1,2
7049,"Lamb, unspecified part, boiled (without salt)",1,1430,47.2,1.5,25.4,26.9,0,0,344,14,2.5,21,179,189,54,4.97,30,0,0,0,0,0.07,0.18,4.6,16,16,2,0
7050,"Lamb, unspecified part, grilled (without salt and fat)",1,1400,48.3,1.4,24.6,26.6,0,0,338,17,2.3,27,185,283,74,4.83,29,0,0,0,0,0.1,0.29,7.1,18,18,3,0
7020,"Pork, meat, raw (unspecified part)",1,1190,57.2,0.7,18.9,[23.5],0,0,286,25,1.1,13,178,253,58,1.59,28,0,0,0,0,0.63,0.17,3.8,4,4,0.6,[0]
 SD or min-max,,,,12.3,,5.9,23-24,,,,19-30,0.6,,155-200,,16,,,,,,,0.07,0.05,,,,,
 n,,,,5,1,5,2,,,,2,5,1,2,1,4,1,1,,,1,,5,5,1,,1,1,
7051,"Pork, meat, unspecified part, boiled (without salt)",1,1550,41.8,1.1,29.1,28.6,0,0,374,30,1.8,12,164,195,40,2.45,44,0,0,0,0,0.29,0.18,2.9,4,4,1,0
7052,"Pork, meat, unspecified part, grilled (without salt and fat)",1,1480,44.9,1,27,27.6,0,0,356,26,1.3,18,228,307,75,2.27,41,0,0,0,0,0.63,0.21,4.3,5,5,1,0
7021,"Rabbit meat, raw",1,636,67,1.3,24.4,4.8,0,2.5,151,12,1,18,290,370,53,1.6,25,10,10,10,0,0.46,0.06,7.5,11,11,5.3,0
 SD or min-max,,,,7.2,0.2,2.4,4.9,,,,4,1-1,10-26,210-370,,,,,,,,,,,,,,,
 n,,,,3,3,3,3,,,,3,2,2,2,1,1,1,1,,,1,,2,1,1,,1,1,1
7053,"Rabbit meat, stewed (without salt)",1,872,51.4,2,35.8,7.1,0,0,207,15,1.5,17,341,299,47,2.35,37,12,12,12,0,0.27,0.05,5.5,10,10,5,0
7054,"Rabbit meat, roasted (without salt and fat)",1,674,62.4,1.5,27.7,5.5,0,0,160,13,1.1,17,280,336,51,1.82,28,9,9,9,0,0.31,0.05,6,10,10,4,0
7022,"Sausage, beef, raw",1,989,57.5,2.3,12,[16.3],2.2,9.7,238,42,1,26,492,279,679,3.42,79,129,134,125,54,0.03,0.1,2.6,9,9,1.42,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
7055,"Sausage, beef, grilled (without salt and fat)",1,927,48.1,3,16.1,17,3,0,223,57,1.6,35,623,316,815,4.55,106,155,161,150,65,0.03,0.13,2.9,10,10,2,0
7023,"Sausage, frankfurters",1,1130,60,1.9,10,[25],1.5,1.6,274,78,1.5,11,150,75,1000,2.3,7,9,11,7,24,0.04,0.08,0.9,3,3,1.1,0
 SD or min-max,,,,,,,,,,,35-120,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,2,1,1,1,1,1,1,1,,,1,,1,2,1,,1,1,1
7056,"Sausage, frankfurters, boiled (without salt)",1,1130,59.2,2,10.3,25.3,2,0,272,68,1.5,11,155,66,876,2.37,7,8,10,6,23,0.03,0.07,0.7,2,2,1,0
7024,"Sausage, liver, raw",1,1330,52,3.1,13,28.5,0,3.4,322,30,6.4,12,230,170,900,2.3,58,8310,8310,8310,0,0.2,1.6,4.3,30,30,13.46,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
7057,"Sausage, liver, grilled (without salt and fat)",1,1530,40.7,4.1,17.3,33.3,0,0,369,40,8.5,16,291,193,1080,3.07,77,9970,9970,9970,0,0.2,2.03,4.9,34,34,18,0
7025,"Sausage, pork, raw",1,1420,51,2.5,11.5,[32],1.3,1.7,343,25,1.1,15,160,160,720,1.7,26,26,27,25,13,0.04,0.12,2.7,21,21,0.6,0
 SD or min-max,,,,45-57,,11-12,,,,,9-40,1-1.1,,,,690-750,,,,,,,,,,,,,
 n,,,,2,1,2,1,1,,,2,2,1,1,1,2,1,1,,,1,,1,2,1,,1,1,1
7058,"Sausage, pork, boiled (without salt)",1,1470,48,2.7,12.5,33.6,1,0,355,23,1.1,16,174,148,665,1.85,28,26,27,24,13,0.03,0.12,2.2,15,15,0,0
7059,"Sausage, pork, grilled (without salt and fat)",1,1730,37.4,3.5,16,39,2,0,419,34,1.5,21,211,189,900,2.36,36,33,34,31,16,0.04,0.16,3.2,25,25,1,0
7026,"Quail, flesh & skin, raw",0.54,729,69.7,1,19.1,11.5,0,0,175,10,2.6,24,243,358,49,1.58,16,47,47,47,0,0.17,0.39,7.1,8,8,0.82,6
 SD or min-max,,,,69.7-69.8,0.9-1,18.5-19.6,11-12.1,,,,6-13,1.3-4,23-24,210-275,216-500,45-53,0.74-2.42,15-17,,,,,,,,,,,
 n,,,,2,2,2,2,,,,2,2,2,2,2,2,2,2,,,2,,2,2,2,,1,2,1
8001,"Cod, fillet, raw",0.32,311,81.6,1.2,17,0.6,0,0,73,15,0.2,26,209,367,79,0.37,27,[2],[2],2,tr,0.06,0.07,1.8,9,9,1.55,0.5
 SD or min-max,,0.3-0.3,,0.8,1.2-1.2,,0.1,,,,4,0.1,25-27,200-219,360-375,79-80,0.36-0.38,23-30,,,,,0.03,0.03,,,,,
 n,,2,,3,2,1,3,,,,3,3,2,2,2,2,2,2,,,2,,3,3,2,,2,2,1
8015,"Cod, fillet, steamed (without salt)",0.28,380,77.5,1.5,20.7,0.7,0,0,90,18,0.2,27,217,336,82,0.45,29,2,,2,0,0.06,0.06,1.6,8,8,2,0
8016,"Cod, fillet, grilled (without salt and fat)",0.26,415,75.5,1.6,22.7,0.8,0,0,98,20,0.2,31,251,416,90,0.49,35,2,,2,0,0.07,0.08,2.2,10,10,2,1
8017,"Cod, fillet, boiled in recipe (without salt and fat)",0.28,380,77.5,1.5,20.7,0.7,0,0,90,18,0.3,31,255,448,97,0.45,32,2,,2,0,0.06,0.08,2.1,10,10,2,1
8002,"Dagaa fish (omena), dried, raw",1,1400,11.2,10,59.5,10.6,0,0,333,2790,6.9,98,2730,800,300,16,22,[141],[141],141,,0.34,0.52,18.2,46,46,60,tr
 SD or min-max,,,,,7.2-12.7,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,2,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,
8018,"Dagaa fish (omena), dried, stewed (without salt)",1,638,59.6,4.5,27,4.8,0,0,152,1270,3.1,44,1240,364,136,7.39,10,58,,58,0,0.13,0.24,7.9,18,18,24,0
8003,"Eel, raw",0.67,733,69.6,1.41,17.7,11.7,0,0,176,20,0.6,20,216,272,70.5,1.62,6.5,[1043],[1043],1043,tr,0.2,0.35,3.5,15,15,3,1.8
 SD or min-max,,,,68.3-71,,17-18.4,,,,,,0.5-0.7,,,,51-90,,,,,,,,,,,,,
 n,,1,,2,1,2,1,,,,1,2,1,1,1,2,1,1,,,1,,1,1,1,,1,1,1
8019,"Eel, steamed (without salt)",0.63,830,64.8,1.7,21.3,12.6,0,0,199,24,0.6,20,221,246,72,1.95,7,880,,880,0,0.18,0.3,3,13,13,3,2
8020,"Eel, grilled (without salt and fat)",0.61,874,62.6,1.8,23,13.1,0,0,210,26,0.7,23,252,300,78,2.1,8,1084,,1084,0,0.23,0.41,4.1,16,16,4,2
8021,"Eel, boiled in recipe (without salt and fat)",0.63,883,63.4,1.7,21.3,14,0,0,212,24,0.7,24,260,328,85,1.95,8,1131,,1131,0,0.2,0.42,4,15,15,3,2
8004,"Herring stock, raw",0.5,480,70.8,2.6,18.9,[4.3],0,0,114,67,1.1,32,250,357,95,0.81,36,[31],[31],31,0,0.05,0.23,3.2,8,8,12.22,0
 SD or min-max,,,,1.9,1.7,2.2,3.2-5.4,,,,14,0.1,0,37,58,23,0.24,1,,,3,,0,0.03,0.95,,3,1.95,
 n,,,,5,4,5,2,1,,,3,3,3,4,3,3,3,3,,,3,,3,3,3,,3,3,2
8022,"Herring stock, steamed (without salt)",0.45,578,64.9,3.1,22.7,5.2,0,0,137,80,1.1,33,256,322,97,0.97,39,34,,34,0,0.05,0.19,2.7,7,7,12,0
8023,"Herring stock, grilled (without salt)",0.44,623,62.1,3.4,24.5,5.6,0,0,148,87,1.3,37,292,394,105,1.05,47,36,,36,0,0.06,0.27,3.7,8,8,14,0
8024,"Herring stock, boiled in recipe (without salt and fat)",0.45,578,64.9,3.1,22.7,5.2,0,0,137,80,1.4,39,301,430,114,0.97,43,34,,34,0,0.06,0.28,3.6,8,8,13,0
8005,"Lungfish, fillet, raw",0.91,308,80.5,1.1,15.9,[1],0,0,73,180,2.6,20,253,168,91,1.12,24,[9],[9],9,tr,,0.28,2.2,2,2,1.64,0.2
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,,1,1,,1,1,1
8025,"Lungfish, fillet, steamed (without salt)",0.89,371,76.5,1.3,19.1,1.2,0,0,88,217,2.5,21,259,152,93,1.34,26,10,,10,0,0,0.24,1.8,2,2,2,0
8026,"Lungfish, fillet, grilled (without salt and fat)",0.89,400,74.7,1.4,20.6,1.3,0,0,94,234,2.9,24,296,185,100,1.45,31,11,,11,0,0,0.33,2.5,2,2,2,0
8027,"Lungfish, fillet, boiled in recipe (without salt and fat)",0.89,371,76.5,1.3,19.1,1.2,0,0,88,217,3.2,24,305,202,109,1.34,28,10,10,10,0,0,0.34,2.5,2,2,2,0
8006,"Mudfish (kamongo), fillet, raw",0.4,431,78.3,1.2,17.8,3.5,0,0,102,23,0.5,24,180,301,41,1.07,38,9,9,9,tr,0.07,0.03,3,14,14,3.5,tr
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,
8028,"Mudfish (kamongo), fillet, steamed (without salt)",0.36,520,73.8,1.4,21.5,4.2,0,0,123,28,0.5,24,184,272,42,1.29,41,10,10,10,0,0.06,0.03,2.6,11,11,3,0
8029,"Mudfish (kamongo), fillet, grilled (without salt and fat)",0.34,560,71.8,1.5,23.2,4.5,0,0,133,30,0.6,28,210,333,45,1.39,49,11,11,11,0,0.08,0.04,3.5,14,14,4,0
8030,"Mudfish (kamongo), fillet, boiled in recipe (without salt and fat)",0.36,520,73.8,1.4,21.5,4.2,0,0,123,28,0.7,29,217,363,49,1.29,46,10,10,10,0,0.07,0.04,3.5,14,14,4,0
8007,"Mackerel, raw",0.62,534,76.8,1.3,18.7,5.9,0,0,127,23,0.9,33,215,395,66,0.52,48,25,25,25,0,0.1,0.15,2.9,1,1,3.9,1.8
 SD or min-max,,,,,0.2,,0.5,,,,14,0.5,3,13,65,11,0.11,14,,,17,,0.03,0.03,1,,1,2.6,1.6-2
 n,,,,1,4,1,4,,,,4,4,4,4,4,4,4,4,,,4,,4,4,4,,3,3,2
8008,"Nile perch, dry, raw",,1634,12.2,4.2,71.8,[10.7],0,1.2,388,516,4,112,1092,859,376,2,84,186,186,186,tr,tr,tr,8,28,28,5,tr
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,2,2,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,1
8009,"Nile perch, fillet w/o bones, raw",0.69,356,77.37,1.2,19,[0.9],0,0,84,133,1,29,282,222,97,0.56,22,15,15,15,tr,tr,tr,2,7,7,1.3,tr
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,,,1,,1,1,
8010,"Nile tilapia, fillet, w/o skin and bones, raw",0.58,391,77.6,1.1,19.7,[1.5],0,0,92,109,2.7,17,167,151,64,0.5,17,10,10,10,tr,0.04,0.15,3.23,5,5,1.51,tr
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,,1,1,,1,1,
8011,"Prawns, flesh, raw",0.51,419,75.1,1.6,18.4,1.1,0,3.9,99,59,1.5,43,246,252,191,1.43,42,16,20,11,56,0.04,0.08,2.7,14,14,2.14,0.3
 SD or min-max,,0.5-0.6,,75-75.1,1.6-1.6,0.8,,,,,,1.4-1.6,,227-265,,,,,,,,,,,,,,,
 n,,2,,2,2,3,1,,,,1,2,1,2,1,1,1,1,,,1,1,2,2,1,,1,1,2
8031,"Prawns, fresh, steamed (without salt)",0.46,505,69.9,1.9,22.2,1.3,0,5,119,71,1.4,44,252,228,196,1.72,45,16,,11,56,0.03,0.07,2.2,11,11,2,0
8032,"Prawns, fresh, grilled (without salt and fat)",0.47,487,71,1.9,21.4,1.3,0,4,115,69,1.7,50,286,293,223,1.66,48,16,,11,58,0.04,0.1,2.9,13,13,2,0
8033,"Prawns, fresh, boiled in recipe (without salt and fat)",0.46,505,69.9,1.9,22.2,1.3,0,5,119,71,1.5,47,267,258,196,1.72,50,16,,11,59,0.04,0.09,2.9,13,13,2,0
8012,"Sardine, flesh, raw",0.6,605,71.2,2.1,19.5,[7.4],0,0,145,42,1.3,36,256,364,38,1.2,50,[13],[13],13,tr,0.01,0.05,0.91,23,[23],0.5,tr
 SD or min-max,,,,2.5,0.6,0.9,2.4,,,,,0.5,24-47,58,228-499,,0.89-1.57,,,,,,,0.01,,,,,
 n,,1,1,11,10,11,10,,,1,1,3,2,3,2,1,2,1,,,1,,1,3,1,,1,,
8034,"Sardine, fresh, steamed (without salt)",0.56,666,67.4,2.5,23,7.4,0,0,159,50,1.2,36,256,321,38,1.45,53,10,,10,0,0.01,0.04,0.7,19,19,0,0
8035,"Sardine, fresh, grilled (without salt and fat)",0.52,733,63.2,2.9,26.8,7.5,0,0,175,58,1.5,44,316,423,45,1.68,69,14,,14,0,0.01,0.06,1.1,25,25,1,0
8036,"Sardine, fresh, boiled in recipe (without salt and fat)",0.56,712,66.2,2.5,23,8.7,0,0,170,50,1.6,42,301,428,45,1.45,59,13,,13,0,0.01,0.06,1,23,23,1,0
8013,"Shark, raw",0.67,398,74.4,1.1,21.6,[0.8],0,0,94,8,0.38,32.58,263,372,63.63,0.46,28.9,[1],[1],1.1,tr,0.03,0.04,2.68,3,3,1.49,tr
 SD or min-max,,,,72.8-76,1.1-1.2,,,,,,,,,262-263,,,,,,,,,,,,,,,
 n,,1,1,2,2,1,1,,,1,1,1,1,2,1,1,1,1,,,1,,1,1,1,,1,,
8037,"Shark, steamed (without salt)",0.63,479,69.2,1.4,26,1,0,0,113,10,0.4,33,269,336,65,0.55,31,1,,1,0,0.03,0.03,2.3,3,3,1,0
8038,"Shark, grilled (without salt and fat)",0.61,517,66.8,1.5,28.1,1.1,0,0,122,11,0.4,38,307,411,70,0.6,38,1,,1,0,0.04,0.05,3.1,3,3,2,0
8039,"Shark, boiled in recipe (without salt and fat)",0.63,479,69.2,1.4,26,1,0,0,113,10,0.5,39,316,448,77,0.55,35,1,,1,0,0.03,0.05,3.1,3,3,2,0
8014,"Tuna, raw",0.58,500,68.9,1.5,25,2,0,0,118,5,0.8,41,266,379,50,0.46,73,[18],[18],18,tr,0.16,0.15,16.3,3,3,4.6,tr
 SD or min-max,,,,7.6,0.3,1.5,2.5,,,,2,0.2,8,12,110,14,0.13,32,,,,,0.07,0.09,6.9,,1,4.2,
 n,,,,4,3,4,3,,,,3,3,3,3,3,3,3,3,,,1,,3,3,3,,3,3,
8040,"Tuna, steamed (without salt)",0.52,625,61.1,1.8,31.2,2.5,0,0,148,7,0.8,44,283,355,53,0.57,83,20,,20,0,0.15,0.13,14.3,2,2,5,0
8041,"Tuna, grilled (without salt and fat)",0.51,675,57.9,2,33.8,2.7,0,0,160,7,1,50,324,435,57,0.62,99,22,,22,0,0.2,0.18,19.9,3,3,6,0
8042,"Tuna, boiled in recipe (without salt and fat)",0.52,625,61.1,1.8,31.2,2.5,0,0,148,7,1,52,333,474,63,0.57,92,20,,20,0,0.17,0.18,19.4,3,3,5,0
9001,Animal fat/ lard,1,3660,1,0.3,0,99,0,0,890,1,0.1,0,3,1,2,0.11,0,0,0,0,0,0,0,0,0,0,0,0
 SD or min-max,,,,,0-0.5,0,0.5,,,,0-1,,,,,,,,,,,,0,,,,0,,0
 n,,,,1,2,3,3,,,,2,1,1,1,1,1,1,1,,,2,,3,2,2,,3,2,3
9002,Corn oil,1,3700,0,0,0,99.9,0,0.1,900,0,0,0,0,0,0,0.01,0,6,6,6.38,0,0,0,0,0,0,0,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,0,1,1,1,,1,,1
9003,Fish liver oil,1,3700,0,0,0,100,0,0,900,0,0,0,0,0,0,0,0,30000,30000,30000,tr,0,0,0,0,0,0,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,2,2,,2,2,3
9004,"Margarine,20% fat",1,728,78.8,1.3,0,19.5,0,0.4,177,0,0,1,14,25,733,0,0,819,870,768,610,0,0,0,0,0,0,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,1,1
9005,"Margarine,60% fat",1,2230,37.7,1.7,0.3,59.8,0,0.5,541,21,0,2,16,30,700,0,0,819,870,768,610,0.01,0.03,0,1,1,3.65,0.1
 SD or min-max,,,,0.9,0.1,0.3,0.6,0,,,0,0,0,0,0,85,0,0,,,,,0,0,0,,0,,0
 n,,1,,3,3,3,3,3,,,3,3,3,3,3,3,3,3,,,,0,3,3,3,,3,,3
9006,"Margarine,80% fat",1,3070,15,1.9,0.1,[83],0,0,748,10,0,2,10,5,300,0,0,819,870,768,610,0,0,0,1,1,0.06,0.15
 SD or min-max,,,,,1.8-1.9,0.1,,0-0,,,,,1-3,,,,0-0,0-0,,,,,,,,,0.6,0.05,
 n,,1,,1,2,3,1,2,,,1,1,2,1,1,1,2,2,,,2,,1,1,2,,3,3,2
9007,Mustard seed oil,1,3700,0,0,0,100,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
9008,Olive oil,1,3700,0,0,0,100,0,0,900,0,0,0,1,0,0,0.01,0,1,2,0,11,0,0,0,0,0,0,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
9009,Peanut oil,1,3700,0,0,0,100,0,0,900,0,0.1,1,3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
9010,Red palm oil,1,3660,1,0.1,0,99,0,0,891,6,0,0,7,0,0,0,0,5490,11000,0,65800,0.01,0.02,0,0,0,0,0
 SD or min-max,,,,1-1,0.1,0-0,99-99,,,,6-6,0-0,0-0,7-7,0-0,,,,,,,,,,,,,,
 n,,1,,2,3,2,2,1,,,2,2,2,2,2,1,1,1,,,1,,1,1,1,,1,,1
9011,"Shortening, commercial, vegetable fat ",1,3700,0,0,0.1,100,0,0,900,1,0,0,0,1,1,0.02,0,0,0,0,0,0,0,0.1,0,0,0,0
 SD or min-max,,,,0-0,0-0,0-0.2,99-100,0-0,,,0-1,0-0,0-0,0-0,0-1,0-1,0-0.04,0-0,,,,,,,,,,,
 n,,1,,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,,0,2,2,2,,2,2,2
9012,Soya bean oil,1,3700,0,0,0,100,0,0,900,0,0,0,0,0,0,0,0,3,3,2.66,0,0,0,0,0,0,0,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,0,1,1,1,,1,,1
9013,Sun flower oil,1,3700,0,0,0,100,0,0,900,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
10001,"Bambara groundnuts, dried, raw",,1340,9.5,3.6,18.1,6,28.2,34.6,321,39,3.3,166,190,1330,2,1.81,,0,0,0,tr,0.04,0.07,2.3,,,0,tr
 SD or min-max,,,,1.2,0.3,1.5,5.5-6.5,2.9,,,5,1.7,12,35,108,0,0.22,,,,,,0,0,,,,,
 n,,,,4,4,4,2,4,,,4,4,4,4,4,4,4,,,,1,,4,4,1,,,,1
10002,"Coconut, fresh, mature fruit, flesh",0.48,1740,37.1,1,4.4,39,10.1,8.5,423,18,2.3,47,146,125,29,0.73,3,0,0,0,0,0.08,0.08,1,14,14,0,2.6
 SD or min-max,,,,36.3-37.8,1-1,4.2-4.5,,,,,7,0.5,,82,,,,,,,,,,,,,,,
 n,,,,2,2,2,1,1,,,3,3,1,3,1,1,1,1,,,1,,1,1,1,,1,,1
10003,"Coconut, fresh, young or immature, flesh",1,736,68,0.9,2,10.8,1,17.3,176,34.7,1.2,35,56,266,12,0.42,4,0,0,0,0,0.03,0.6,1.2,20,20,0,5.8
